父级,对象,类型,缺失组,已有组,状态,页码
第二节窦性心律失常,一、窦性心动过速,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第二节窦性心律失常,三、窦性停搏,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第二节窦性心律失常,二、窦性心动过缓,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第二节窦性心律失常,四、窦房传导阻滞,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第五节冠状动脉疾病的其他表现形式,一、冠状动脉痉挛,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,258
第五节冠状动脉疾病的其他表现形式,三、微血管疾病,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,258
第五节冠状动脉疾病的其他表现形式,二、心肌桥,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,258
第五节室性心律失常,［附］遗传性心律失常综合征,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第四节房室交界性心律失常,一、房室交界性期前收缩,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第四节房室交界性心律失常,三、非阵发性房室交界性心动过速,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第四节房室交界性心律失常,二、房室交界性逸搏与心律,disease_or_subtype,clinical_manifestation；diagnosis_differential；exam_lab；treatment,definition,g1_needs_backfill,221
第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,第一节动脉粥样硬化,disease_or_subtype,clinical_manifestation；exam_lab；treatment,definition；diagnosis_differential；etiology_pathogenesis,g1_needs_backfill,258
第三节房性心律失常,一、房性期前收缩,disease_or_subtype,diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition,g1_needs_backfill,221
第三节房性心律失常,四、心房颤动,disease_or_subtype,diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis,g1_needs_backfill,221
第二节窦性心律失常,五、病态窦房结综合征,disease_or_subtype,diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis,g1_needs_backfill,221
第五节室性心律失常,三、心室扑动与心室颤动,disease_or_subtype,diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition,g1_needs_backfill,221
第三节房性心律失常,三、心房扑动,disease_or_subtype,diagnosis_differential；exam_lab,clinical_manifestation；definition；treatment,g1_needs_backfill,221
第三节房性心律失常,二、房性心动过速,disease_or_subtype,diagnosis_differential；exam_lab,clinical_manifestation；definition；etiology_pathogenesis；treatment,g1_needs_backfill,221
第五节室性心律失常,一、室性期前收缩,disease_or_subtype,diagnosis_differential；exam_lab,clinical_manifestation；definition；etiology_pathogenesis；treatment,g1_needs_backfill,221
第十五章其他心血管疾病,第二节糖尿病与冠心病,disease_or_subtype,exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；prognosis_followup,g1_needs_backfill,381
第四节房室交界性心律失常,四、房室交界区相关的折返性心动过速,disease_or_subtype,diagnosis_differential；treatment,clinical_manifestation；definition；etiology_pathogenesis；exam_lab,g1_needs_backfill,221
第三节慢性冠状动脉综合征,三、隐匿型冠心病,disease_or_subtype,treatment,clinical_manifestation；definition；diagnosis_differential；exam_lab,g1_needs_backfill,258
第三节慢性冠状动脉综合征,二、缺血性心肌病,disease_or_subtype,treatment,clinical_manifestation；definition；diagnosis_differential；exam_lab；prognosis_followup,g1_needs_backfill,258
第二章心力衰竭,第二节慢性心力衰竭,disease_or_subtype,definition,clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,g1_needs_backfill,207
第五节室性心律失常,二、室性心动过速,disease_or_subtype,diagnosis_differential,clinical_manifestation；definition；etiology_pathogenesis；exam_lab；treatment,g1_needs_backfill,221
第十五章其他心血管疾病,第三节糖尿病与心力衰竭,disease_or_subtype,exam_lab,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；prognosis_followup；treatment,g1_needs_backfill,381
第三章心律失常,第七节抗心律失常药物的合理应用,therapy_or_management_section,treatment,definition,g1_needs_backfill,221
第三章心律失常,第八节心律失常的介入治疗和手术治疗,therapy_or_management_section,treatment,,g1_no_structured_candidate,221
第二章心力衰竭,第一节心力衰竭总论,overview_section,definition,etiology_pathogenesis,g1_needs_backfill,207
第八节心律失常的介入治疗和手术治疗,一、心脏电复律与电除颤,therapy_or_management_section,treatment,definition；prognosis_followup,g1_needs_backfill,221
第八节心律失常的介入治疗和手术治疗,三、导管消融,therapy_or_management_section,treatment,clinical_manifestation；definition；prognosis_followup,g1_needs_backfill,221
第十四章肿瘤心脏病学,第三节肿瘤治疗相关的心律失常,therapy_or_management_section,treatment,definition,g1_needs_backfill,375
