batch_id,disease_code,disease_name,node_code,node_name,rel_type
BATCH-CARD-CAD-STEMI-20260712-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,MED-CARD-STEMI-C6E5F2B51268,GPⅡb/Ⅲa受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-STEMI-20260712-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,MED-CARD-STEMI-611F442336F1,洋地黄制剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-UA,不稳定型心绞痛,MED-CARD-CADREM-UA-86E5A960E1,P2Y12受体抑制剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-UA,不稳定型心绞痛,MED-CARD-CADREM-UA-64DAEC4E11,β受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-UA,不稳定型心绞痛,MED-CARD-CADREM-UA-55157DA541,硝酸酯类药物,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-UA,不稳定型心绞痛,MED-CARD-CADREM-UA-28E925C6DE,钙通道阻滞剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CAD-SPASM,冠状动脉痉挛,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-ARR-PVC,室性期前收缩,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-ARR-AFL,心房扑动,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-ARR-AF,心房颤动,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-MYOCARDITIS,心肌炎,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-AMI,急性心肌梗死,MED-CARD-CADREM-AMI-64DAEC4E11,β受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-AMI,急性心肌梗死,MED-CARD-CADREM-AMI-55157DA541,硝酸酯类药物,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-ARR-AT,房性心动过速,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-DCM,扩张型心肌病,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-DCM,扩张型心肌病,CARD-SKELETON-20260709-MEDICATION-09DFB5E0DF9F68B9,血管紧张素II受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-DCM,扩张型心肌病,CARD-SKELETON-20260709-MEDICATION-7887433A96437926,血管紧张素转换酶抑制剂或血管紧张素受体阻滞剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-DCM,扩张型心肌病,CARD-SKELETON-20260709-MEDICATION-CE7B6E8D0756D10D,钠-葡萄糖共转运蛋白2抑制剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,MED-CARD-CADREM-STABLE-ANGINA-86E5A960E1,P2Y12受体抑制剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,MED-CARD-CADREM-STABLE-ANGINA-64DAEC4E11,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,MED-CARD-CADREM-STABLE-ANGINA-55157DA541,硝酸酯类药物,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,MED-CARD-CADREM-STABLE-ANGINA-28E925C6DE,钙通道阻滞剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,MED-CARD-CADREM-STABLE-ANGINA-6974A87B31,非二氢吡啶类钙通道阻滞剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-ARR-SB,窦性心动过缓,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-HCM,肥厚型心肌病,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-RCM,限制型心肌病,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,MED-CARD-CADREM-SILENT-ISCHEMIA-64DAEC4E11,β受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,MED-CARD-CADREM-SILENT-ISCHEMIA-DAE0F0B68F,他汀类药物,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,MED-CARD-CADREM-NSTEMI-86E5A960E1,P2Y12受体抑制剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,MED-CARD-CADREM-NSTEMI-64DAEC4E11,β受体拮抗剂,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,MED-CARD-CADREM-NSTEMI-55157DA541,硝酸酯类药物,treated_by_medication
BATCH-CARD-CAD-REMAINING-20260712-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,MED-CARD-CADREM-NSTEMI-28E925C6DE,钙通道阻滞剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,CARD-SKELETON-20260709-MEDICATION-DDAA1C07D618EDC7,β受体拮抗剂,treated_by_medication
CARD-SKELETON-20260709,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,CARD-SKELETON-20260709-MEDICATION-09DFB5E0DF9F68B9,血管紧张素II受体拮抗剂,treated_by_medication
