疾病编码,疾病名称,疾病大类,疾病亚类,关联实体数,证据数,指南数,CDSS决策节点数,正式CDSS关系数,可用场景数,需补强场景数,缺口场景数,大类基线分,交付判断
DIS-CARD-ARR-BRUGADA,Brugada综合征,,,159,91,5,10,0,8,3,2,73.1,可参考但需补强
DIS-CARD-ARR-AVB1,一度房室传导阻滞,,,52,25,4,5,0,4,4,5,46.2,暂不建议作为交付样板
DIS-CARD-ARR-AVB3,三度房室传导阻滞,,,89,61,4,5,0,3,6,4,46.2,暂不建议作为交付样板
DIS-CARD-ARR-AVB2,二度房室传导阻滞,,,28,8,3,5,0,2,6,5,38.5,暂不建议作为交付样板
DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,,,245,179,4,8,0,8,3,2,73.1,可参考但需补强
DIS-CARD-ARR-SVT,室上性心动过速,,,287,213,7,9,0,9,3,1,80.8,可作为样板/测试库
DIS-CARD-ARR-VA,室性心律失常,,,275,197,5,9,0,8,4,1,76.9,可参考但需补强
DIS-CARD-ARR-PVC,室性期前收缩,,,739,604,5,13,0,9,3,1,80.8,可作为样板/测试库
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,,,140,75,5,9,0,7,5,1,73.1,可参考但需补强
DIS-CARD-ARR-VF,心室扑动与心室颤动,,,1042,903,5,16,0,9,4,0,84.6,可作为样板/测试库
DIS-CARD-ARR-AFL,心房扑动,,,797,664,7,10,0,10,2,1,84.6,可作为样板/测试库
DIS-CARD-ARR-AF,心房颤动,,,3221,3003,17,17,0,11,2,0,92.3,可作为样板/测试库
DIS-CARD-ARR-AVB,房室传导阻滞,,,939,821,4,13,0,9,2,2,76.9,可参考但需补强
DIS-CARD-ARR-AVRT,房室折返性心动过速,,,188,124,7,9,0,9,3,1,80.8,可作为样板/测试库
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,,,162,101,7,8,0,8,4,1,76.9,可参考但需补强
DIS-CARD-ARR-AT,房性心动过速,,,562,454,7,13,0,10,2,1,84.6,可作为样板/测试库
DIS-CARD-ARR-VT,持续性室性心动过速,,,1470,1333,5,14,0,9,3,1,80.8,可作为样板/测试库
DIS-CARD-ARR-ERS,早期复极综合征,,,136,111,0,0,0,3,3,7,34.6,暂不建议作为交付样板
DIS-CARD-ARR-BBB,束支传导阻滞,,,98,69,3,5,0,3,5,5,42.3,暂不建议作为交付样板
DIS-CARD-ARR-SQTS,短QT间期综合征,,,65,25,5,6,0,4,5,4,50.0,暂不建议作为交付样板
DIS-CARD-ARR-SB,窦性心动过缓,,,207,152,4,14,0,6,5,2,65.4,可参考但需补强
DIS-CARD-ARR-SINUS,窦性心律失常,,,82,58,0,0,0,3,2,8,30.8,暂不建议作为交付样板
DIS-CARD-ARR-SAB,窦房传导阻滞,,,56,26,3,5,0,3,5,5,42.3,暂不建议作为交付样板
DIS-CARD-ARR-SND,窦房结功能障碍,,,95,63,3,5,0,4,5,4,50.0,暂不建议作为交付样板
DIS-CARD-ARR-BRADY,缓慢性心律失常,,,208,170,4,6,0,4,7,2,57.7,暂不建议作为交付样板
DIS-CARD-ARR-LQTS,长QT间期综合征,,,264,183,5,8,0,9,3,1,80.8,可作为样板/测试库
DIS-CARD-ARR-PSVT,阵发性室上性心动过速,,,66,51,0,1,0,2,4,7,30.8,暂不建议作为交付样板
DIS-CARD-ARR-NSVT,非持续性室性心动过速,,,125,71,5,7,0,7,4,2,69.2,可参考但需补强
DIS-CARD-ARR-WPW,预激综合征,,,308,243,7,10,0,9,3,1,80.8,可作为样板/测试库
