after_duplicate_relation_count,after_keep_relation_count,apply,before_duplicate_relation_count,before_keep_relation_count,duplicate_code,evidence_text_length,group_index,group_node_count,group_total_relation_count,incoming_relation_count,keep_code,migrated_incoming_relation_count,migrated_outgoing_relation_count,outgoing_relation_count,source_name,source_page
0,1,true,0,1,EVD-CARD-FULLBOOK-3A1B1EB74748B1,161,1,2,1,0,EVD-CARD-FULLBOOK-20DE71B2D05A92,0,0,0,《内科学（第10版）》docx,N/A
0,1,true,0,1,EVD-CARD-FULLBOOK-D8EEE7F3C6DBE5,46,2,2,1,0,EVD-CARD-FULLBOOK-AA5DBA6E134458,0,0,0,《内科学（第10版）》docx,N/A
0,1,true,0,1,EVD-CARD-FULLBOOK-F71AA0771E8499,41,3,2,1,0,EVD-CARD-FULLBOOK-3AF32E636CD2F4,0,0,0,《内科学（第10版）》docx,N/A
0,1,true,0,1,EVD-CARD-FULLBOOK-23CEEC03A2F403,20,4,2,1,0,EVD-CARD-FULLBOOK-A64D90CFDAACAD,0,0,0,《内科学（第10版）》docx,N/A
0,1,true,0,1,EVD-CARD-FULLBOOK-9000823638AA8D,94,5,2,1,0,EVD-CARD-FULLBOOK-1B7F5CBE90D6C9,0,0,0,《内科学（第10版）》docx,N/A
0,2,true,1,1,EVD-CARD-FOUND-00109,283,6,2,2,1,EVD-CARD-FOUND-00077,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00159,97,7,2,2,1,EVD-CARD-FOUND-00158,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00347,131,8,2,2,1,EVD-CARD-FOUND-00346,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00309,81,9,2,2,1,EVD-CARD-FOUND-00308,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00121,147,10,2,2,1,EVD-CARD-FOUND-00120,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00130,191,11,2,2,1,EVD-CARD-FOUND-00129,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00116,129,12,2,2,1,EVD-CARD-FOUND-00115,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00075,220,13,2,2,1,EVD-CARD-FOUND-00074,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00058,208,14,2,2,1,EVD-CARD-FOUND-00057,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00312,155,15,2,2,1,EVD-CARD-FOUND-00311,1,0,0,《内科学（第10版）》.docx,
0,2,true,1,1,EVD-CARD-FOUND-00274,131,16,2,2,1,EVD-CARD-FOUND-00049,1,0,0,《内科学（第10版）》.docx,
0,2,true,1,1,EVD-CARD-FOUND-00283,40,17,2,2,1,EVD-CARD-FOUND-00275,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00288,133,18,2,2,1,EVD-CARD-FOUND-00287,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00051,92,19,2,2,1,EVD-CARD-FOUND-00050,1,0,0,《内科学（第10版）》.docx,
0,1,true,1,1,EVD-CARD-FOUND-00221,141,20,2,2,1,EVD-CARD-FOUND-00220,1,0,0,《内科学（第10版）》.docx,
